"ISO.x","Country","Latitude","Longitude","ISO.y","COVAX","Current.Vaccine.Introduction.Status","Current.or.Planned.Formulation","Vaccinated.Group","Current.Immunization.Program.Type","Universal.Introduction.Actual.Date","WHO.Region","Cases...cumulative.total","Cases...cumulative.total.per.100000.population","Cases...newly.reported.in.last.7.days","Cases...newly.reported.in.last.7.days.per.100000.population","Cases...newly.reported.in.last.24.hours","Deaths...cumulative.total","Deaths...cumulative.total.per.100000.population","Deaths...newly.reported.in.last.7.days","Deaths...newly.reported.in.last.7.days.per.100000.population","Deaths...newly.reported.in.last.24.hours","Transmission.Classification","Code","Day","new_vaccinations_smoothed_per_million"
"AD","Andorra",42.5,1.5,NA,NA,NA,NA,NA,NA,NA,"Europe",12409,16060.31,356,460.75,46,120,155.31,5,6.47,1,"Community transmission","AND","2021-01-26",0.0854
"AD","Andorra",42.5,1.5,NA,NA,NA,NA,NA,NA,NA,"Europe",12409,16060.31,356,460.75,46,120,155.31,5,6.47,1,"Community transmission","AND","2021-01-27",0.0854
"AD","Andorra",42.5,1.5,NA,NA,NA,NA,NA,NA,NA,"Europe",12409,16060.31,356,460.75,46,120,155.31,5,6.47,1,"Community transmission","AND","2021-01-28",0.0854
"AD","Andorra",42.5,1.5,NA,NA,NA,NA,NA,NA,NA,"Europe",12409,16060.31,356,460.75,46,120,155.31,5,6.47,1,"Community transmission","AND","2021-01-29",0.0854
"AD","Andorra",42.5,1.5,NA,NA,NA,NA,NA,NA,NA,"Europe",12409,16060.31,356,460.75,46,120,155.31,5,6.47,1,"Community transmission","AND","2021-01-30",0.0854
"AD","Andorra",42.5,1.5,NA,NA,NA,NA,NA,NA,NA,"Europe",12409,16060.31,356,460.75,46,120,155.31,5,6.47,1,"Community transmission","AND","2021-01-31",0.0854
"AD","Andorra",42.5,1.5,NA,NA,NA,NA,NA,NA,NA,"Europe",12409,16060.31,356,460.75,46,120,155.31,5,6.47,1,"Community transmission","AND","2021-02-01",0.0854
"AD","Andorra",42.5,1.5,NA,NA,NA,NA,NA,NA,NA,"Europe",12409,16060.31,356,460.75,46,120,155.31,5,6.47,1,"Community transmission","AND","2021-02-02",0.0777
"AD","Andorra",42.5,1.5,NA,NA,NA,NA,NA,NA,NA,"Europe",12409,16060.31,356,460.75,46,120,155.31,5,6.47,1,"Community transmission","AND","2021-02-03",0.0712
"AD","Andorra",42.5,1.5,NA,NA,NA,NA,NA,NA,NA,"Europe",12409,16060.31,356,460.75,46,120,155.31,5,6.47,1,"Community transmission","AND","2021-02-04",0.0647
"AD","Andorra",42.5,1.5,NA,NA,NA,NA,NA,NA,NA,"Europe",12409,16060.31,356,460.75,46,120,155.31,5,6.47,1,"Community transmission","AND","2021-02-05",0.0569
